ADM_CD,TOT_REG_CD,18_density,18_level
11215850,1105060030005,0.00949934581609583,1
11215820,1105064010003,0.009628334865588959,1
11215810,1105063040301,0.009630982033136077,1
11215780,1105059010020,0.009659578258019328,2
11215830,1105065030008,0.009679337411874562,2
11215830,1105065030005,0.009920813012021277,2
11215847,1105067030002,0.009982743129436042,2
11215810,1105063010102,0.009986695725605415,2
11215770,1105058010003,0.009998227729971138,2
11215750,1105056020014,0.010127041999400233,2
11215830,1105065030101,0.010180635030580271,2
11215830,1105065030004,0.010408316018385147,2
11215860,1105061010008,0.010460104688013,2
11215750,1105056020013,0.010594349954685736,2
11215860,1105061010001,0.010653604999625603,2
11215780,1105059010009,0.010760440112292526,2
11215810,1105063010201,0.010775318575492807,2
11215730,1105054010003,0.01089677531964892,2
11215810,1105063040306,0.010930251257640645,2
